p,d,q,aic,bic,sec,converged
0,0,0,333.132,343.219,6.4,True
0,0,1,321.921,334.475,5.6,True
0,0,2,320.17,335.169,9.7,True
0,0,3,318.255,335.675,7.6,True
0,0,4,314.23,334.049,9.4,True
0,0,5,309.357,331.55,9.8,True
0,0,6,306.02,330.564,11.5,True
0,1,0,355.823,363.356,7.4,True
0,1,1,328.805,338.804,4.9,True
0,1,2,320.313,332.756,5.8,True
0,1,3,318.063,332.927,7.6,True
0,1,4,315.691,332.953,9.7,True
0,1,5,313.931,333.566,11.6,True
0,1,6,303.88,325.864,28.5,True
0,2,0,440.225,447.724,3.6,True
0,2,1,355.55,365.505,4.2,True
0,2,2,331.997,344.384,18.3,True
0,2,3,319.376,334.171,16.3,True
0,2,4,318.077,335.258,20.7,True
0,2,5,315.028,334.569,26.0,True
0,2,6,313.717,335.595,32.5,True
1,0,0,325.528,338.137,5.2,True
1,0,1,323.916,338.981,9.5,True
1,0,2,322.123,339.621,7.7,True
1,0,3,320.23,340.139,13.4,True
1,0,4,315.744,338.04,16.1,True
1,0,5,311.353,336.012,18.4,True
1,0,6,308.019,335.017,20.4,True
1,1,0,347.595,357.639,2.7,True
1,1,1,323.578,336.078,7.4,True
1,1,2,322.244,337.176,10.8,True
1,1,3,320.005,337.347,12.9,True
1,1,4,317.584,337.311,15.0,True
1,1,5,310.023,332.113,34.6,True
1,1,6,302.433,326.86,39.0,True
1,2,0,407.978,417.977,4.0,True
1,2,1,347.654,360.097,5.3,True
1,2,2,325.152,340.016,35.5,True
1,2,3,321.364,338.625,22.1,True
1,2,4,320.052,339.686,31.3,True
1,2,5,317.448,339.432,29.7,True
1,2,6,310.41,334.718,38.5,True
2,0,0,324.187,339.253,5.9,True
2,0,1,326.084,343.66,11.6,True
2,0,2,323.687,343.686,14.9,True
2,0,3,319.045,341.443,24.5,True
2,0,4,314.286,339.06,30.5,True
2,0,5,313.296,340.421,20.6,True
2,0,6,304.408,333.86,45.4,True
2,1,0,337.045,349.544,5.6,True
2,1,1,325.48,340.479,13.7,True
2,1,2,324.091,341.512,9.6,True
2,1,3,315.428,335.246,31.0,True
2,1,4,317.564,339.757,31.3,True
2,1,5,309.842,334.385,37.4,True
2,1,6,304.485,331.354,35.5,True
2,2,0,376.828,389.271,4.0,True
2,2,1,340.9,355.831,5.9,True
2,2,2,326.945,344.286,25.4,True
2,2,3,323.243,342.97,27.8,True
2,2,4,316.477,338.566,41.0,True
2,2,5,316.154,340.58,26.1,True
2,2,6,314.017,340.756,23.6,True
3,0,0,321.696,339.195,4.4,True
3,0,1,323.015,343.014,10.4,True
3,0,2,322.08,344.579,13.6,True
3,0,3,321.306,346.193,14.3,True
3,0,4,317.98,345.231,21.4,True
3,0,5,310.849,340.44,23.6,True
3,0,6,308.476,340.383,28.2,True
3,1,0,336.103,351.035,3.2,True
3,1,1,323.888,341.309,8.0,True
3,1,2,325.261,345.17,6.9,True
3,1,3,320.227,342.523,15.0,True
3,1,4,318.607,343.266,12.1,True
3,1,5,311.608,338.606,28.6,True
3,1,6,304.031,333.343,24.1,True
3,2,0,365.249,380.113,4.1,True
3,2,1,339.157,356.499,5.1,True
3,2,2,338.245,358.063,8.6,True
3,2,3,334.284,356.477,17.5,True
3,2,4,318.293,342.837,22.0,True
3,2,5,314.488,341.357,24.3,True
3,2,6,311.219,340.389,25.8,True
4,0,0,318.389,338.298,6.6,True
4,0,1,319.892,342.29,9.7,True
4,0,2,321.239,346.125,10.8,True
4,0,3,322.606,349.981,19.5,True
4,0,4,317.296,347.024,20.2,True
4,0,5,311.429,343.486,26.0,True
4,0,6,305.6,339.96,32.2,True
4,1,0,332.845,350.186,6.8,True
4,1,1,319.243,339.061,5.6,True
4,1,2,313.891,336.187,22.4,True
4,1,3,322.194,346.967,17.5,True
4,1,4,317.745,344.87,20.9,True
4,1,5,310.379,339.831,26.7,True
4,1,6,308.39,340.144,34.0,True
4,2,0,360.91,378.171,4.9,True
4,2,1,335.053,354.78,6.6,True
4,2,2,335.126,357.319,10.6,True
4,2,3,337.487,362.146,16.1,True
4,2,4,334.996,361.994,22.6,True
4,2,5,324.492,353.804,25.0,True
4,2,6,312.622,344.223,25.3,True
5,0,0,313.438,335.734,5.8,True
5,0,1,311.571,336.344,15.3,True
5,0,2,313.474,340.725,22.1,True
5,0,3,313.154,342.882,25.2,True
5,0,4,317.285,349.491,22.3,True
5,0,5,316.067,350.59,23.8,True
5,0,6,308.903,345.719,31.2,True
5,1,0,325.44,345.167,4.7,True
5,1,1,315.493,337.686,10.4,True
5,1,2,313.998,338.657,7.7,True
5,1,3,313.89,341.015,26.2,True
5,1,4,311.357,340.948,28.1,True
5,1,5,306.972,338.879,32.3,True
5,1,6,306.506,340.703,29.6,True
5,2,0,349.863,369.498,7.3,True
5,2,1,328.483,350.572,6.8,True
5,2,2,329.296,353.839,19.8,True
5,2,3,317.145,344.143,25.8,True
5,2,4,336.968,366.42,23.7,True
5,2,5,334.178,365.932,26.1,True
5,2,6,316.244,350.275,31.0,True
6,0,0,312.571,337.23,8.1,True
6,0,1,310.869,337.994,17.4,True
6,0,2,312.936,342.527,14.0,True
6,0,3,314.636,346.693,24.9,True
6,0,4,316.64,351.162,23.0,True
6,0,5,317.343,354.332,26.2,True
6,0,6,311.044,350.313,31.0,True
6,1,0,323.967,346.056,5.1,True
6,1,1,314.17,338.713,14.1,True
6,1,2,312.829,339.827,18.9,True
6,1,3,309.922,339.374,30.2,True
6,1,4,315.652,347.559,27.6,True
6,1,5,315.789,350.15,29.2,True
6,1,6,313.657,350.297,29.2,True
6,2,0,346.556,368.54,7.3,True
6,2,1,325.654,350.08,8.6,True
6,2,2,325.779,352.649,21.1,True
6,2,3,316.177,345.489,27.3,True
6,2,4,334.477,366.232,24.4,True
6,2,5,329.867,364.064,28.1,True
6,2,6,318.443,354.905,36.1,True
